"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
18,0.166666666666667,0,0.166666666666667,0.0555555555555556,0,0.0555555555555556,0.111111111111111,0,0.111111111111111,0,0.111111111111111,0,0.111111111111111
20,0.2,0,0.2,0.05,0,0.05,0.1,0,0.1,0,0.15,0,0.15
7,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.133333333333333,0.133333333333333,0,0.0666666666666667,0,0.0666666666666667,0,0,0,0,-0.0666666666666667,0.0666666666666667,0
7,0.142857142857143,0,0.142857142857143,0,0,0,0.142857142857143,0,0.142857142857143,0,0,0.142857142857143,0.142857142857143
18,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.2,0,0.2,0.2,0,0.2,0.2,0,0.2,0,0.2,0,0.2
29,0.0344827586206897,0.0344827586206897,0.0689655172413793,0,0,0,0,0,0,0,0,0.0344827586206897,0.0344827586206897
5,0.4,0.2,0.6,0.2,0,0.2,0.2,0,0.2,0,0.4,0,0.4
8,0.25,0.25,0.5,0.125,0,0.125,0,0.125,0.125,0,0.375,0,0.375
20,-0.1,0.1,0,0,0,0,0,0,0,0,-0.05,0.05,0
19,0.157894736842105,0.105263157894737,0.263157894736842,0,0,0,0.0526315789473684,0,0.0526315789473684,0,0.368421052631579,0,0.368421052631579
16,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0
11,0.272727272727273,0,0.272727272727273,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0,0.181818181818182
26,0.192307692307692,0.0384615384615385,0.230769230769231,0,0,0,-0.0384615384615385,0.0384615384615385,0,0,0.153846153846154,0.0384615384615385,0.192307692307692
26,0.192307692307692,0.0384615384615385,0.230769230769231,0,0,0,-0.0384615384615385,0.0384615384615385,0,0,0.153846153846154,0.0384615384615385,0.192307692307692
8,-0.125,0.125,0,0,0,0,-0.125,0.125,0,0,-0.125,0.125,0
13,0,0.153846153846154,0.153846153846154,0,0,0,0,0,0,0,0.153846153846154,0,0.153846153846154
16,0.1875,0,0.1875,0,0,0,0.0625,0,0.0625,0,0.125,0,0.125
24,0.0833333333333333,0,0.0833333333333333,0.0416666666666667,0,0.0416666666666667,0,0,0,0,0.0416666666666667,0.0416666666666667,0.0833333333333333
23,0.0869565217391304,0.0434782608695652,0.130434782608696,0,0,0,-0.0434782608695652,0.0434782608695652,0,0,0.0869565217391304,0.0869565217391304,0.173913043478261
17,0.176470588235294,0,0.176470588235294,0,0,0,0.0588235294117647,0,0.0588235294117647,0,0.117647058823529,0,0.117647058823529
16,0.1875,0.0625,0.25,0,0,0,0.125,0,0.125,0,0.25,0.0625,0.3125
25,0.08,0.04,0.12,0.04,0,0.04,0,0,0,0,0,0,0
27,-0.037037037037037,0.148148148148148,0.111111111111111,0,0,0,0.037037037037037,0,0.037037037037037,0,0,0.111111111111111,0.111111111111111
24,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0,0,0.0416666666666667,0,0.0416666666666667
24,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0,0,0.0416666666666667,0,0.0416666666666667
4,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0
23,-0.0434782608695652,0.0869565217391304,0.0434782608695652,0,0,0,0.0434782608695652,0,0.0434782608695652,0,0.130434782608696,0,0.130434782608696
13,0.0769230769230769,0.0769230769230769,0.153846153846154,0,0,0,0.153846153846154,0,0.153846153846154,0,0.0769230769230769,0.0769230769230769,0.153846153846154
23,-0.0869565217391304,0.173913043478261,0.0869565217391304,-0.0434782608695652,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0,0,0.0434782608695652,0.0434782608695652
12,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0,0,0.166666666666667,0,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0.166666666666667
8,0.125,0,0.125,0,0,0,0.125,0,0.125,0,0.125,0,0.125
23,0.0434782608695652,0.0869565217391304,0.130434782608696,0,0,0,0.0434782608695652,0,0.0434782608695652,0,0,0,0
17,0.235294117647059,0.0588235294117647,0.294117647058824,0,0,0,0,0,0,0,0.176470588235294,0.0588235294117647,0.235294117647059
6,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0.166666666666667,0,0,0
18,0.0555555555555556,0.0555555555555556,0.111111111111111,0,0,0,0,0,0,0,0.0555555555555556,0.0555555555555556,0.111111111111111
18,0.222222222222222,0,0.222222222222222,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
11,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.230769230769231,0,0.230769230769231,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.230769230769231,0,0.230769230769231
9,0,0.111111111111111,0.111111111111111,0,0,0,-0.111111111111111,0.111111111111111,0,0,0,0,0
19,0.210526315789474,0,0.210526315789474,0,0,0,-0.0526315789473684,0.0526315789473684,0,0,0.105263157894737,0.0526315789473684,0.157894736842105
8,0.125,0.125,0.25,0,0,0,-0.125,0.125,0,0,0.125,0,0.125
28,0.107142857142857,0.142857142857143,0.25,0,0,0,-0.142857142857143,0.142857142857143,0,0.0357142857142857,0.107142857142857,0.0714285714285714,0.178571428571429
26,0.115384615384615,0.0384615384615385,0.153846153846154,0,0,0,0,0.0384615384615385,0.0384615384615385,0,0.0384615384615385,0,0.0384615384615385
18,0.111111111111111,0.111111111111111,0.222222222222222,0,0.0555555555555556,0.0555555555555556,0,0,0,0.0555555555555556,0.166666666666667,0.0555555555555556,0.222222222222222
4,-0.25,0.25,0,0,0,0,0,0,0,0,-0.25,0.25,0
21,0.19047619047619,0,0.19047619047619,0,0,0,-0.0476190476190476,0.0476190476190476,0,0,0.142857142857143,0,0.142857142857143
23,0.217391304347826,0,0.217391304347826,0,0,0,0.0434782608695652,0,0.0434782608695652,0,0.0434782608695652,0.0869565217391304,0.130434782608696
